Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,5619.899902,5619.899902,5515.200195,5536.100098,5536.100098,943659500
2015-06-29,5536.100098,5536.100098,5408.600098,5413.100098,5413.100098,0
2015-06-30,5416.600098,5457.700195,5383.399902,5451.200195,5451.200195,1005583400
2015-07-01,5448.100098,5506.000000,5445.600098,5506.000000,5506.000000,752445600
2015-07-02,5506.100098,5596.600098,5503.799805,5587.899902,5587.899902,816716500
2015-07-03,5587.899902,5588.000000,5483.100098,5528.000000,5528.000000,682555600
2015-07-06,5528.000000,5528.000000,5428.799805,5463.299805,5463.299805,541911900
2015-07-07,5463.299805,5558.700195,5463.299805,5555.500000,5555.500000,0
2015-07-08,5564.000000,5564.000000,5456.500000,5456.500000,5456.500000,799011500
2015-07-09,5456.500000,5475.000000,5372.399902,5472.799805,5472.799805,0
2015-07-10,5458.799805,5512.399902,5458.799805,5478.100098,5478.100098,602541800
2015-07-13,5478.100098,5525.899902,5439.899902,5460.399902,5460.399902,520325700
2015-07-14,5460.399902,5570.799805,5460.399902,5561.899902,5561.899902,650623300
2015-07-15,5561.899902,5619.899902,5561.600098,5609.700195,5609.700195,0
2015-07-16,5619.000000,5672.100098,5619.000000,5649.799805,5649.799805,698347800
2015-07-17,5649.799805,5668.700195,5630.500000,5652.500000,5652.500000,667907800
2015-07-20,5652.500000,5670.299805,5636.299805,5669.000000,5669.000000,551459100
2015-07-21,5669.000000,5699.299805,5669.000000,5688.500000,5688.500000,643601100
2015-07-22,5688.500000,5688.500000,5602.700195,5603.500000,5603.500000,751086400
2015-07-23,5603.500000,5607.000000,5577.200195,5581.299805,5581.299805,646842900
2015-07-24,5581.299805,5595.500000,5539.000000,5556.799805,5556.799805,603017600
2015-07-27,5556.600098,5579.200195,5529.100098,5579.200195,5579.200195,762964500
2015-07-28,5579.100098,5592.299805,5519.799805,5571.000000,5571.000000,839073200
2015-07-29,5571.000000,5634.500000,5571.000000,5609.600098,5609.600098,794077900
2015-07-30,5609.600098,5659.399902,5609.600098,5653.100098,5653.100098,684565800
2015-07-31,5653.100098,5682.700195,5653.100098,5681.700195,5681.700195,825633300
2015-08-03,5681.700195,5686.600098,5656.000000,5664.299805,5664.299805,539957200
2015-08-04,5664.299805,5710.799805,5645.700195,5681.899902,5681.899902,804592400
2015-08-05,5681.899902,5684.200195,5628.000000,5659.500000,5659.500000,759159300
2015-08-06,5659.500000,5659.500000,5580.100098,5600.100098,5600.100098,630708800
2015-08-07,5600.100098,5600.100098,5472.299805,5472.299805,5472.299805,667450700
2015-08-10,5472.299805,5508.100098,5456.799805,5504.899902,5504.899902,552922300
2015-08-11,5516.399902,5537.500000,5461.799805,5473.100098,5473.100098,690615400
2015-08-12,5473.100098,5479.000000,5367.799805,5383.500000,5383.500000,875736200
2015-08-13,5383.500000,5425.000000,5383.500000,5389.000000,5389.000000,761700600
2015-08-14,5389.000000,5402.700195,5355.000000,5360.000000,5360.000000,710990900
2015-08-17,5360.000000,5398.100098,5360.000000,5368.600098,5368.600098,585242700
2015-08-18,5368.600098,5388.899902,5309.399902,5309.399902,5309.399902,817300100
2015-08-19,5309.399902,5382.500000,5309.399902,5379.799805,5379.799805,777872400
2015-08-20,5379.799805,5379.799805,5283.399902,5295.500000,5295.500000,832834300
2015-08-21,5295.500000,5295.500000,5183.399902,5224.799805,5224.799805,1186261000
2015-08-24,5218.600098,5218.600098,5014.200195,5014.200195,5014.200195,1265354000
2015-08-25,5014.200195,5155.299805,4936.299805,5143.799805,5143.799805,1424622500
2015-08-26,5143.799805,5185.100098,5062.000000,5178.899902,5178.899902,1334005300
2015-08-27,5178.899902,5284.600098,5178.899902,5242.600098,5242.600098,911242500
2015-08-28,5242.600098,5314.500000,5241.500000,5274.700195,5274.700195,1039057000
2015-08-31,5274.700195,5274.700195,5176.600098,5222.100098,5222.100098,1073627100
2015-09-01,5222.100098,5228.399902,5111.799805,5117.100098,5117.100098,906807800
2015-09-02,5117.100098,5120.600098,5037.000000,5119.399902,5119.399902,974008800
2015-09-03,5119.399902,5190.700195,5048.600098,5048.700195,5048.700195,861454500
2015-09-04,5056.299805,5088.100098,5017.299805,5060.799805,5060.799805,882621200
2015-09-07,5060.799805,5065.500000,4996.600098,5051.000000,5051.000000,663040800
2015-09-08,5051.000000,5133.500000,5051.000000,5133.500000,5133.500000,718923500
2015-09-09,5133.500000,5236.899902,5133.500000,5236.899902,5236.899902,987307900
2015-09-10,5236.899902,5236.899902,5109.299805,5117.000000,5117.000000,1210228600
2015-09-11,5117.000000,5137.500000,5079.100098,5096.299805,5096.299805,731414700
2015-09-14,5096.299805,5154.000000,5093.399902,5120.500000,5120.500000,797599900
2015-09-15,5120.500000,5126.899902,5045.600098,5046.600098,5046.600098,811791300
2015-09-16,5046.600098,5123.600098,5046.600098,5123.600098,5123.600098,892453000
2015-09-17,5123.600098,5215.200195,5123.600098,5171.200195,5171.200195,922436300
2015-09-18,5171.200195,5218.299805,5121.200195,5194.299805,5194.299805,1338761100
2015-09-21,5194.299805,5194.299805,5059.200195,5096.399902,5096.399902,678284900
2015-09-22,5096.399902,5153.299805,5096.399902,5130.799805,5130.799805,638604500
2015-09-23,5130.799805,5130.799805,5022.899902,5032.500000,5032.500000,820755700
2015-09-24,5032.500000,5102.299805,5032.500000,5102.299805,5102.299805,799537400
2015-09-25,5102.299805,5145.000000,5069.700195,5076.700195,5076.700195,821389700
2015-09-28,5076.700195,5145.100098,5065.899902,5145.100098,5145.100098,642939100
2015-09-29,5132.000000,5132.000000,4958.100098,4958.100098,4958.100098,1165534200
2015-09-30,4958.100098,5058.600098,4958.100098,5058.600098,5058.600098,985790800
